TweetId	TweetTimeStamp	TweetText
430421063579607040	2014-02-03 11:22:33	@TheSquare Yup, it's the snowpocalypse! SnOwMG! Snowmageddon!
430423862044422144	2014-02-03 11:33:40	Oh damn it is RT @nathanreid: SNOWPOCALYPSE IN NORTH PORTLAND!!!1
430426061763919872	2014-02-03 11:42:24	#Snowpocalypse @pdxtst
430427535956926464	2014-02-03 11:48:16	Snowpocalypse! #pdxtst http://t.co/Of6tRDxSqO
430433857389600768	2014-02-03 12:13:23	@TheBrennanBrown if someone were to craft scarves for you & @JennaStern for #snowpocalypse what colors would you like to see?
430441193562832896	2014-02-03 12:42:32	@pechluck I don't know...I was kind of hoping for another snowpocalypse! ;-)
430443090105475073	2014-02-03 12:50:04	With all this wintery weather people overuse the term Snowpocalypse? Y'know what was the Snowpocalypse for reals? The Ice Age.
430563630006800385	2014-02-03 20:49:03	7 Hot Soups to Keep You Warm during the #Snowpocalypse http://t.co/WlftB1pTuA via @CatholicFoodie
430752766894432257	2014-02-04 09:20:37	@Bunzaroo Snowpocalypse!
430775774514118656	2014-02-04 10:52:02	Snowing in Wilsonville. Better walk the dogs before #Snowpocalypse
430777446808289281	2014-02-04 10:58:41	Snowpocalypse 2- electric boogaloo
430787104872730624	2014-02-04 11:37:04	RED ALERT, RED ALERT - snow is falling in Portland. #Snowpocalypse 2014 has begun.
430798708666806272	2014-02-04 12:23:10	I'm seeing snow in SE Portland. #Snowpocalypse
430804355361411072	2014-02-04 12:45:36	@pyratejack It appears to have hit a lull in the Snowpocalypse....for now...
430809968569090049	2014-02-04 13:07:55	The Snowpocalypse has resumed!!! #PDXTST
430814762943778816	2014-02-04 13:26:58	SNOWPOCALYPSE! http://t.co/QWc77iYP34
430819490293485568	2014-02-04 13:45:45	Portland, Oregon: where everyone drives 10 mph below the speed limit when there's snow in the air #portland #snowpocalypse
430837019023925248	2014-02-04 14:55:24	@treeplethora its snowing ever so slightly... Time for the Portland #snowpocalypse
431122615559008256	2014-02-05 09:50:16	Also picked up an extra bag of Guatemalan roast from @trailheadpdx in preparation for snowpocalypse 2014. Stay strong Portland....
431163607422734336	2014-02-05 12:33:09	I'm glad I won't have to commute in on Monday durring the #snowpocalypse #pdxversion
431205024161492992	2014-02-05 15:17:43	@CaptainAnnoying Might have to take the fam since we will be having Snowpocalypse this weekend
431268657508151296	2014-02-05 19:30:35	There is a severe weather warning for tomorrow, Thursday, Feb. 6, and Saturday, Feb. 8. Be safe everyone! #Snowpocalypse
431273593159163904	2014-02-05 19:50:11	Snow tomorrow? Real snow? #snowpocalypse snow? I'm putting $500 on "Maybe".
431285450880196608	2014-02-05 20:37:19	There's a decent chance the Knights of the Snowpocalypse show up Saturday, which could put damper on subregional wrestling...
431285734427750400	2014-02-05 20:38:26	Wagtail reported in Oregon just before 3 days of snow?! I want to go find it, but not during Snowpocalypse. #noooooo
431291509812764672	2014-02-05 21:01:23	Chapter members, pledges, and alumni: Check your email for updates about this weekend's events! #Snowpocalypse
431300158442442752	2014-02-05 21:35:45	Three voices converging on @valentinespdx on the eve of a snowpocalypse. This is what I'm talking about. #pdxmusic
431301790122770432	2014-02-05 21:42:14	Snowpocalypse in Atlanta â€“ A Gift in Disguise? http://t.co/uZxMDyH7fw
431334692428595201	2014-02-05 23:52:59	Cool. Arrived in #portland just in time for "Snowpocalypse" 2014. #iheartlocalmeteorologists
431337943379095552	2014-02-06 00:05:54	The internet suddenly stopped working . TIS MIDNIGHT THE SNOWPOCALYPSE BEGIN'S
431346713635201024	2014-02-06 00:40:45	@CHold I gotcha. Sounds shady. It would be nice actually if snowpocalypse could be an exclusive. Sources say it's snowing. Only on 12.
431387861334499328	2014-02-06 03:24:15	I'm ready to wake up to snowpocalypse tomorrow morning...1" of snow shuts Salem Oregon down...how are we gonna handle #Snowmageddon2014
431434870586212352	2014-02-06 06:31:03	Oh, Portland Snowpocalypse 2014. Please please please don't ruin my @Powells reading tonight & launch party Saturday.
431440339019104256	2014-02-06 06:52:47	@Powells Are tonight's events still on, or are they being rescheduled due to impending Snowpocalypse 2014?
431455392543944704	2014-02-06 07:52:36	Weâ€™re all poised breathlessly on the brink of the #snowpocalypse in Portland. We could see inches. Inches! #pdxtst
431455826646036480	2014-02-06 07:54:19	@davidfill yup. We are all terrible drivers in OR when snow comes. So we just shut down our whole city for anything over 1"! #Snowpocalypse
431456117193834497	2014-02-06 07:55:29	2014-02-06 Snowpocalypse: Not panicking here, but just in case it's going to turn into some kind of snow event... http://t.co/CFqIXpq54a
431457562907901952	2014-02-06 08:01:13	Go in to the office or hunker down at home? Important decisions in the face of impending snowpocalypse.
431459904440651778	2014-02-06 08:10:32	@SteveDavis90 Snowpocalypse!
431462333907357696	2014-02-06 08:20:11	Dire Snowpocalypse warnings make me happier than ever to live in walking distance of the bar, the grocery store, and the library.
431466724789981184	2014-02-06 08:37:38	I love Portland, but this Snowpocalypse BS needs to stop. It hasn't even started snowing, and schools are closing? Come on folks...
431467199694245888	2014-02-06 08:39:31	.@dreamhost webmail crashing with every log in. Snowpocalypse on the horizon. I see how this day is going to go.
431467289569796097	2014-02-06 08:39:52	So stoked for SNOWpocalypse 2014! Bring it on baby!
431467340450910208	2014-02-06 08:40:04	I'm wearing waterproof boots, jacket, double pants and heavy gloves. I'm waiting for my snowpocalypse now.
431467490216914944	2014-02-06 08:40:40	Commence! RT @jackaninny: Snowpocalypse in 3â€¦2â€¦1 #pdxtst
431467516678795264	2014-02-06 08:40:46	@trimetscanner A pretty sure sign that Snowpocalypse will happen. If they chained up, probably not a snowflake in sight.
431467698648674304	2014-02-06 08:41:30	Iâ€™m a wee bit excited about the impending snowpocalypse.
431469659087314944	2014-02-06 08:49:17	It's SNOWPOCALYPSE in Portland. http://t.co/RfgeD28GQy
431472191255760896	2014-02-06 08:59:21	Oregon snowpocalypse 2014. We will rebuild. http://t.co/vukWd03Bxs
431472467211587584	2014-02-06 09:00:27	RT @jabancroft: Weâ€™re all poised breathlessly on the brink of the #snowpocalypse in Portland. We could see inches. Inches! #pdxtst
431473819186761729	2014-02-06 09:05:49	Snowpocalypse better be hitting salem soon.
431474025907236864	2014-02-06 09:06:38	Groceries procured. Every #Snowpocalypse needs a last-minute grocery run. :-)
431474475578568704	2014-02-06 09:08:26	RT @bmartzie: Snowpocalypse better be hitting salem soon.
431475220830892033	2014-02-06 09:11:23	Waiting for snowpocalypse
431476610768728065	2014-02-06 09:16:55	Snowpocalypse! #PDXsnow
431477901867745280	2014-02-06 09:22:02	@KGWNews #snowmageddon or #snowpocalypse...?
431478296979599360	2014-02-06 09:23:37	Let's just do #KGWWeather for now RT @jamie_renberg: @KGWNews #snowmageddon or #snowpocalypse...?
431478456409288704	2014-02-06 09:24:15	And the snowpocalypse starts early. It's cold, but very little snow here.
